Mapping,Date,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
M03,2013-05-08,Previous-day persistence,2.9601393799011166,3.2728187607564507,0.3126793808553345,-2.4595415036755375,0
M03,2013-05-08,ECF,3.3330449451655113,4.463282983080461,1.1302380379149497,-2.0881523136774844,7
M03,2013-05-08,Equal-total control,3.3226433678648353,4.476820099917589,1.1541767320527536,-2.098423267618553,0
M03,2013-05-09,No feedback,2.960220507969235,3.867892588928091,0.9076720809588559,-2.382987832515519,0
M03,2013-05-09,Previous-day persistence,2.4560786757351556,2.560117870748678,0.10403919501352236,-2.8847255683398685,0
M03,2013-05-09,ECF,3.0099963033479247,3.9057175103514723,0.8957212070035478,-2.333894542097379,9
M03,2013-05-09,Equal-total control,2.960211619775679,3.867884107772806,0.9076724879971269,-2.3829966602173998,0
M03,2013-05-10,No feedback,3.371776354240563,4.238147726947284,0.8663713727067205,-1.8614202150808357,0
M03,2013-05-10,Previous-day persistence,3.017981933576226,3.0579997192324537,0.0400177856562279,-2.2127099260251843,0
M03,2013-05-10,ECF,3.3687162709486134,4.225489167750707,0.8567728968020937,-1.8644427614500452,8
M03,2013-05-10,Equal-total control,3.371778979268714,4.238150184562698,0.866371205293984,-1.8614176554611561,0
M03,2013-05-11,No feedback,2.695445271482317,4.227976373565959,1.5325311020836423,-2.946420529767387,0
M03,2013-05-11,Previous-day persistence,2.4265718107860192,3.0821625987848993,0.65559078799888,-3.2137013446791918,0
M03,2013-05-11,ECF,3.0515266335979154,4.635289635662246,1.5837630020643303,-2.594205443761836,10
M03,2013-05-11,Equal-total control,2.6954610691382515,4.227998889258727,1.5325378201204742,-2.9464048672988365,0
M03,2013-05-12,No feedback,3.6055501461484183,4.787781849185435,1.1822317030370164,-1.9615941054088983,0
M03,2013-05-12,Previous-day persistence,2.9534168192653487,3.1815618180281193,0.2281449987627705,-2.6115585992318144,0
M03,2013-05-12,ECF,3.7383419583764868,4.9040656647086145,1.165723706332128,-1.8306471493694538,12
M03,2013-05-12,Equal-total control,3.605536808052367,4.787769022404068,1.1822322143517003,-1.9616072478680182,0
M03,2013-05-16,No feedback,3.1694531937656727,4.187093549829347,1.017640356063675,-2.7969506405305786,0
M03,2013-05-16,Previous-day persistence,2.898107346840588,2.9994168029489683,0.10130945610838059,-3.0672105093663946,0
